site_name,chl_a_modern
905,1.6647
1603,0.5599
117_723A,2.3916
12PC51,0.2394
167_1017E,0.5652
182_1132B,0.1758
323_U1340A,0.732
81_552A,0.5613
90_594,0.324
AHF_16832,0.226
ASV13_1200,0.8351
B997_328,7.2996
B997_330,7.2996
BOFS17K,0.6613
BOFS26K,0.214
BOFS28K,0.1284
BOFS29K,0.3038
CH69_K09,0.4052
CHAT10K_1,0.3866
CHAT1K,0.2849
CHAT3K,0.2208
CHAT5K,0.2598
CHN82_20,0.2427
CHN82_24_4,0.2378
CHN82_24_4PC,0.2131
DSDP594,0.3133
E49_21,0.2195
E49_23,0.1966
ELT45029_PC,0.191
ELT49017_PC,0.2418
ELT49018_PC,0.2098
ELT49023_PC,0.1966
EN120_GGC_1,0.1063
EW9209_1JPC,0.1739
EW9209_2JPC,0.1739
EW9504_02PC,0.2554
EW9504_03PC,0.3282
EW9504_04PC,0.3979
EW9504_05PC,0.3979
EW9504_08PC,0.3979
EW9504_09PC,0.3551
FR01_97_12,0.1163
GEOB1028_5,0.5559
GEOB1032_3,0.1782
GEOB1034_3,0.1672
GEOB1035_3,0.1672
GEOB1041_3,0.2424
GEOB1101_5,0.364
GEOB1105_4,0.2812
GEOB1112_4,0.1388
GEOB1115_3,0.245
GEOB1117_2,0.22
GEOB1118_2,0.2014
GEOB1211_3,0.1684
GEOB1214_1,0.1684
GEOB12615_4,4.0534
GEOB1312_2,0.0871
GEOB1417_1,0.0594
GEOB1501_4,0.0856
GEOB1505_2,0.1189
GEOB1520_1,0.1026
GEOB1520_2,0.1026
GEOB1523_1,0.0992
GEOB1523_2,0.0992
GEOB1710_3,0.4412
GEOB1711_4,0.6947
GEOB1720_2,0.2881
GEOB1721_6,0.244
GEOB1721_7,0.244
GEOB1722_1,0.1895
GEOB1722_3,0.1895
GEOB1903_3,0.0738
GEOB2004_2,0.2817
GEOB2019_1,0.2613
GEOB2109_1,0.1171
GEOB2215_10,0.242
GEOB3004_1,0.6104
GEOB3104_1,0.4105
GEOB3202_1,0.1542
GEOB3603_2,0.3192
GEOB3801_6,0.0602
GEOB3808_6,0.0639
GEOB3935,0.234
GEOB3938,0.1928
GEOB4216_1,0.1671
GEOB4223_2,0.2067
GEOB4240_2,0.2085
GEOB4403_2,0.2072
GEOB5115_2,0.0437
GEOB5844_2,0.1588
GEOB6718_2,0.4956
GEOB6719_1,0.4956
GEOB6728_1_ISO,0.4956
GEOB9508_5,2.9174
GEOB9526_5,0.9524
GEOTU_SL148,0.202
GGC_10,0.1179
GGC_11,0.1179
GGC_12,0.1179
GGC_13,0.1496
GGC_6,0.0966
GH93_KI_5,0.5232
GIK11944_2,0.1516
GIK12328_5,1.4668
GIK12329_6,0.2039
GIK12337_4_5,1.0936
GIK12392_1,0.3431
GIK13239_1,1.265
GIK13289_2,1.6451
GIK13519_1,0.1306
GIK13521_1,0.1307
GIK15612_2,0.2842
GIK15627_3,0.2067
GIK15637_1,0.1153
GIK15669_1,0.1894
GIK15672_1,0.1412
GIK16004_1,1.75
GIK16017_2,3.0517
GIK16030_1,1.4668
GIK16402_1,0.5083
GIK16408_2,0.2
GIK16408_5,0.2
GIK16459_1,0.1162
GIK16771_2,0.3252
GIK16772_1,0.2956
GIK16773_1,0.3633
GIK16856_2,0.1953
GIK16867_2,0.6085
GIK17045_2,0.5268
GIK17045_3,0.5268
GIK17049_6,0.6461
GIK17940_2,0.1674
GIK17961_2,0.1178
GIK18471_1,0.2776
GIK23071,0.8482
GIK23258_2,0.8068
GIK23258_3,0.8068
GIK23414_9,0.601
GIK23415_9,0.5923
GIK23416_4,0.5298
GIK23417_1,0.5224
GIK23418_8,0.5395
GIK23419_8,0.5689
GIK23519_5,0.8055
H214,0.2534
HLY02_02_17,0.7407
HU72_021_3,0.4563
HU73_031_7,0.3713
HU91_045_093,0.8114
IOE105KK,0.4397
J_11,0.1559
KF09,0.1557
KH94_3_LM_8,0.5395
KN11002_0050PG,0.1269
KN11002_0055,0.1102
KN11002_0058,0.1269
KN11002_0066PG,0.1269
