site_name,lat,lon,water_depth,ocean_basin
117_723A,18.05,57.6,806,WIn
12PC51,0.01,-22.99,3870,TAt
1603,35.92,130.73,1360,NWPa
167_1017E,34.53,-121.1,956,NEPa
182_1132B,-33.31,127.6,218,SPa
323_U1340A,53.4,-179.52,1295,NEPa
81_552A,56.04,-23.23,2301,NEAt
90_594,-45.52,174.94,1204,SPa
905,10.46,51.56,1580,WIn
AHF_16832,31.86,-118.11,1829,NEPa
ASV13_1200,75.9,41,308,Ar
B997_328,65.95,-21.54,96,NEAt
B997_330,65.86,-21.08,170,NEAt
BOFS17K,58,-16.5,1150,NEAt
BOFS26K,24.47,-19.88,3680,NEAt
BOFS28K,24.63,-22.8,4900,NEAt
BOFS29K,20.52,-21.11,4000,TAt
CH69_K09,41.76,-47.35,4100,NWAt
CHAT10K_1,-40.03,179.99,3003,SPa
CHAT1K,-41.58,-171.51,3556,SPa
CHAT3K,-42.65,-167.49,4802,SPa
CHAT5K,-40.78,-171.54,4240,SPa
CHN82_20,43.5,-29.87,3020,NEAt
CHN82_24_4,42.31,-34.6,3427,NEAt
CHN82_24_4PC,41.71,-32.85,3427,NEAt
DSDP594,-45.58,175.08,1204,SPa
E49_21,-42.18,94.89,3328,EIn
E49_23,-47.11,95.09,3206,EIn
ELT45029_PC,-44.87,106.51,3867,EIn
ELT49017_PC,-48.28,90.24,3546,EIn
ELT49018_PC,-46.05,90.15,3282,EIn
ELT49023_PC,-47.12,95.08,3285,EIn
EN120_GGC_1,33.66,-57.61,4450,NWAt
EW9209_1JPC,5.9,-44.19,4056,TAt
EW9209_2JPC,5.64,-44.47,3528,TAt
EW9504_02PC,31.25,-117.58,2042,NEPa
EW9504_03PC,32.04,-117.58,1299,NEPa
EW9504_04PC,32.04,-118.4,1759,NEPa
EW9504_05PC,32.48,-118.13,1818,NEPa
EW9504_08PC,32.79,-118.8,1442,NEPa
EW9504_09PC,32.95,-119.95,1194,NEPa
FR01_97_12,-23.66,154.02,990,SPa
GEOB1028_5,-20.1,9.19,2209,TAt
GEOB1032_3,-22.91,6.03,2505,TAt
GEOB1034_3,-21.73,5.42,3772,TAt
GEOB1035_3,-21.6,5.03,4450,TAt
GEOB1041_3,-3.47,-7.6,4033,TAt
GEOB1101_5,1.65,-10.98,4588,TAt
GEOB1105_4,-1.66,-12.42,3225,TAt
GEOB1112_4,-5.77,-10.75,3125,TAt
GEOB1115_3,-3.56,-12.56,2945,TAt
GEOB1117_2,-3.81,-14.89,3984,TAt
GEOB1118_2,-3.56,-16.43,4675,TAt
GEOB1211_3,-24.47,7.53,4089,SAt
GEOB1214_1,-24.69,7.24,3210,SAt
GEOB12615_4,-7.13,39.84,446,WIn
GEOB1312_2,-31.66,-29.65,3436,SAt
GEOB1417_1,-15.54,-12.71,2845,TAt
GEOB1501_4,-3.68,-32.01,4257,TAt
GEOB1505_2,2.27,-33.01,3705,TAt
GEOB1520_1,4.49,-41.93,3911,TAt
GEOB1520_2,4.49,-41.93,3911,TAt
GEOB1523_1,3.83,-41.62,3291,TAt
GEOB1523_2,3.83,-41.62,3291,TAt
GEOB1710_3,-23.43,11.69,2987,TAt
GEOB1711_4,-23.31,12.37,1967,TAt
GEOB1720_2,-28.99,13.83,1997,SAt
GEOB1721_6,-29.17,13.08,3044,SAt
GEOB1721_7,-29.17,13.08,3044,SAt
GEOB1722_1,-29.49,11.75,3973,SAt
GEOB1722_3,-29.49,11.75,3973,SAt
GEOB1903_3,-8.68,-11.85,3161,TAt
GEOB2004_2,-30.87,14.34,2569,SAt
GEOB2019_1,-36.06,-8.77,3825,SAt
GEOB2109_1,-27.91,-45.88,2504,SAt
GEOB2215_10,0.01,-23.5,3711,TAt
GEOB3004_1,14.6,52.92,1803,WIn
GEOB3104_1,-3.66,-37.71,767,TAt
GEOB3202_1,-21.61,-39.97,1090,TAt
GEOB3603_2,-35.13,17.54,2840,SAt
GEOB3801_6,-29.51,-8.31,4546,SAt
GEOB3808_6,-30.81,-14.71,3213,SAt
GEOB3935,12.61,-59.38,1558,TAt
GEOB3938,12.25,-58.33,1972,TAt
GEOB4216_1,30.63,-12.39,2324,NEAt
GEOB4223_2,29.01,-12.46,775,NEAt
GEOB4240_2,28.88,-13.22,1358,NEAt
GEOB4403_2,6.13,-43.44,4503,TAt
GEOB5115_2,-21.14,-14.04,3291,TAt
GEOB5844_2,27.71,34.68,963,WIn
GEOB6718_2,52.15,-12.75,900,NEAt
GEOB6719_1,52.15,-12.76,758,NEAt
GEOB6728_1_ISO,52.15,-12.76,749,NEAt
GEOB9508_5,15.49,-17.94,2384,TAt
GEOB9526_5,12.43,-18.05,3223,TAt
GEOTU_SL148,39.75,24.09,1094,Med
GGC_10,11.72,118.5,1605,EIn
GGC_11,11.88,118.33,2165,EIn
GGC_12,11.93,118.21,2495,EIn
GGC_13,10.6,118.29,990,EIn
GGC_6,12.15,118.06,2975,EIn
GH93_KI_5,39.56,139.41,807,NWPa
GIK11944_2,35.65,-8.06,1765,NEAt
GIK12328_5,21.14,-18.57,2798,TAt
GIK12329_6,-1.35,-19.93,3912,TAt
GIK12337_4_5,15.95,-18.13,3094,TAt
GIK12392_1,25.17,-16.84,2575,NEAt
GIK13239_1,13.87,-18.31,3156,TAt
GIK13289_2,18.07,-18,2485,TAt
GIK13519_1,5.67,-19.85,2862,TAt
GIK13521_1,3.02,-22.03,4504,TAt
GIK15612_2,44.36,-26.54,3050,NEAt
GIK15627_3,29.16,-12.08,1024,NEAt
GIK15637_1,27,-18.98,3849,NEAt
GIK15669_1,34.89,-7.81,2022,NEAt
GIK15672_1,34.86,-8.12,2460,NEAt
GIK16004_1,29.97,-10.64,1512,NEAt
GIK16017_2,21.24,-17.8,812,TAt
GIK16030_1,21.23,-18.05,1516,TAt
GIK16402_1,14.41,-20.56,4203,TAt
GIK16408_2,9.01,-21.45,4239,TAt
GIK16408_5,9,-21.49,4336,TAt
GIK16459_1,7.27,-26.18,4835,TAt
GIK16771_2,0.81,-15.51,2764,TAt
GIK16772_1,-1.34,-11.97,3911,TAt
GIK16773_1,-0.97,-9.44,4662,TAt
GIK16856_2,4.8,3.4,2861,TAt
GIK16867_2,-2.2,5.1,3891,TAt
GIK17045_2,52.44,-16.65,3653,NEAt
GIK17045_3,52.42,-16.66,3663,NEAt
GIK17049_6,55.26,-26.72,3331,NEAt
GIK17940_2,20.11,117.38,1727,EIn
GIK17961_2,8.5,112.33,1795,EIn
GIK18471_1,-9.36,129.98,485,TPa
GIK23071,67.08,2.9,1308,Ar
GIK23258_2,74.99,13.96,1768,Ar
GIK23258_3,74.99,13.96,1781,Ar
GIK23414_9,53.53,-20.28,2196,NEAt
GIK23415_9,53.17,-19.14,2472,NEAt
GIK23416_4,51.56,-20,3616,NEAt
GIK23417_1,50.66,-19.43,3850,NEAt
GIK23418_8,52.55,-20.33,1491,NEAt
GIK23419_8,54.96,-19.75,1491,NEAt
GIK23519_5,64.79,-29.59,1893,NEAt
H214,-36.92,177.43,2045,SPa
HLY02_02_17,53.93,-178.69,2209,NEPa
HU72_021_3,42.96,-59.93,2470,NWAt
HU73_031_7,42.98,-55.24,4055,NWAt
HU91_045_093,50.2,-45.68,3448,NWAt
IOE105KK,11.26,53.54,3535,WIn
J_11,40.12,-133.99,1150,NEPa
KF09,37.11,-32.28,2655,NEAt
KH94_3_LM_8,38.88,143.36,2353,NWPa
KN11002_0050PG,4.86,-43.2,3995,TAt
KN11002_0055,4.94,-42.89,4556,TAt
KN11002_0058,4.79,-43.03,4341,TAt
KN11002_0066PG,4.56,-43.38,3547,TAt
KN11002_0071PG,4.36,-43.69,3164,TAt
KN11002_0075,4.34,-43.4,3063,TAt
KNR110_82,4.33,-43.48,2816,TAt
KNR140_12JPC,29.07,-72.89,4250,NWAt
KNR140_22JPC,28.02,-74.4,4712,NWAt
KNR140_30GGC,30.73,-74.46,3433,NWAt
KNR140_37JPC,31.41,-75.25,3000,NWAt
KNR140_43GGC,32.01,-76.06,2590,NWAt
KNR140_51GGC,32.78,-76.12,1790,NWAt
KNR140_64GGC,32.74,-76.12,2101,NWAt
KNR140_67JPC,32.74,-76.12,2102,NWAt
KNR159_36,-27.28,-46.47,1268,SAt
KNR166_2_1,24.38,-83.33,446,NWAt
KNR166_2_105,24.56,-79.22,304,NWAt
KNR166_2_106,24.56,-79.23,354,NWAt
KNR166_2_113,24.64,-79.23,402,NWAt
KNR166_2_119,24.59,-79.26,529,NWAt
KNR166_2_127,24.76,-79.26,631,NWAt
KNR166_2_135,24.83,-79.21,446,NWAt
KNR166_2_2,24.38,-83.33,446,NWAt
KNR166_2_51,24.41,-83.21,198,NWAt
KT90_9_21,42.45,144.31,1083,NWPa
KT90_9_5,41.11,143.51,2098,NWPa
KT94_15_PC_9,39.56,139.41,807,NWPa
LV28_42_4,51.71,150.98,1041,NWPa
LV29_114_3,49.37,152.87,1762,NWPa
M35003_4,12.08,-61.25,1299,TAt
M5_3A_422,24.39,58.04,2732,WIn
M77_2_056_5,-3.74,-81.12,355,TPa
M77_2_059_1,-3.95,-81.32,997,TPa
MD01_2378,-13.08,121.78,1783,TPa
MD01_2416,51.26,167.72,2317,NWPa
MD02_2575,29,-87.11,847,NWAt
MD02_2589,-41.43,25.22,2660,WIn
MD06_2986,-43.44,167.9,1477,SPa
MD06_2990,-42.31,169.91,944,SPa
MD06_3018,-23,166.15,2470,TPa
MD06_3067,6.51,126.49,1575,TPa
MD06_3075,6.47,125.83,1878,TPa
MD07_3076,-44.15,-14.22,3770,SAt
MD84_527,-43.82,51.31,3262,WIn
MD88_770,-46.02,96.46,3290,EIn
MD900963,5.05,73.89,2446,WIn
MD95_2010,66.68,4.56,1226,Ar
MD95_2024,50.21,-45.69,3448,NWAt
MD95_2039,40.57,-10.34,3381,NEAt
MD95_2040,40.58,-9.86,2465,NEAt
MD95_2042,37.79,-10.16,3146,NEAt
MD95_2043,36.14,-2.62,1841,NEAt
MD96_2080,-36.26,19.47,2488,SAt
MD96_2098,-25.59,12.63,2909,SAt
MD97_2120,-45.53,174.93,1210,SPa
MD97_2121,-40.38,177.99,3014,SPa
MD98_2181,6.3,125.82,2114,TPa
MD99_2236,54.61,-56.17,520,NWAt
MD99_2339,35.88,-7.52,1177,NEAt
MD99_2343,40.49,4.02,2391,Med
MSM05_5_712_1,78.91,6.76,1491,Ar
