citekey,title,lead_author,other_authors,year,doi,journal,book
abrantes.etal1998,Sediment Fluxes along the Northeastern European Margin: Inferring Hydrological Changes between 20 and 8 Kyr,"Abrantes, F.","Baas, J.; Haflidason, H.; Rasmussen, T.; Klitgaard, D.; Loncaric, N.; Gaspar, L.",1998,10.1016/S0025-3227(98)00062-0,Marine Geology,
ahmad.etal2008,Surface and Deep Water Changes in the Northeast Indian Ocean during the Last 60 Ka Inferred from Carbon and Oxygen Isotopes of Planktonic and Benthic Foraminifera,"Ahmad, S.","Babu, G.; Padmakumari, V.; Raza, W.",2008,10.1016/j.palaeo.2008.03.007,"Palaeogeography, Palaeoclimatology, Palaeoecology",
anand.etal2008,Coupled Sea Surface Temperature-Seawater d18O Reconstructions in the Arabian Sea at the Millennial Scale for the Last 35 Ka,"Anand, P.","Kroon, D.; Singh, A.; Ganeshram, R.; Ganssen, G.; Elderfield, H.",2008,10.1029/2007PA001564,Paleoceanography,
anderson.etal1989,Estimates of Sea Surface Temperature in the Coral Sea at the Last Glacial Maximum,"Anderson, D.","Prell, W.; Barratt, N.",1989,10.1029/PA004i006p00615,Paleoceanography,
arz.etal1998,Correlated Millennial-Scale Changes in Surface Hydrography and Terrigenous Sediment Yield Inferred from Last-Glacial Marine Deposits off Northeastern Brazil,"Arz, H.","Pätzold, J.; Wefer, G.",1998,10.1006/qres.1998.1992,Quaternary Research,
arz.etal1999,The Deglacial History of the Western Tropical Atlantic as Inferred from High Resolution Stable Isotope Records off Northeastern Brazil,"Arz, H.","Pätzold, J.; Wefer, G.",1999,10.1016/S0012-821X(99)00025-4,Earth and Planetary Science Letters,
arz.etal2003,Influence of Northern Hemisphere Climate and Global Sea Level Rise on the Restricted Red Sea Marine Environment during Termination I,"Arz, H.","Pätzold, J.; Müller, P.; Moammar, M.",2003,10.1029/2002pa000864,Paleoceanography,
bahr.etal2011,Hydrological Variability in Florida Straits during Marine Isotope Stage 5 Cold Events,"Bahr, A.","Nürnberg, D.; Schönfeld, J.; Garbe-Schönberg, D.",2011,10.1029/2010pa002015,Paleoceanography,
bassinot.etal1994,Coarse Fraction Fluctuations in Pelagic Carbonate Sediments from the Tropical Indian Ocean: A 1500-Kyr Record of Carbonate Dissolution,"Bassinot, F.","Beaufort, L.; Vincent, E.; Labeyrie, L.; Rostek, F.; Müller, P.; Quidelleur, X.; Lancelot, Y.",1994,10.1029/94PA00860,Paleoceanography,
bauch.etal2001,"A Multiproxy Reconstruction of the Evolution of Deep and Surface Waters in the Subarctic Nordic Seas over the Last 30,000yr","Bauch, H.","Erlenkeuser, H.; Spielhagen, R.; Struck, U.; Matthiessen, J.; Thiede, J.; Heinemeier, J.",2001,10.1016/S0277-3791(00)00098-6,Quaternary Science Reviews,
beveridge.etal1995,Deep Thermohaline Circulation in the Low-Latitude Atlantic during the Last Glacial,"Beveridge, N.","Elderfield, H.; Shackleton, N.",1995,10.1029/94PA03353,Paleoceanography,
bickert.etal1997,Late Pliocene to Holocene (2.6-0 Ma) Western Equatorial Atlantic Deep-Water Circulation: Inferences from Benthic Stable Isotopes,"Bickert, T.","Curry, W.; Wefer, G.",1997,10.2973/odp.proc.sr.154.110.1997,,"Proceedings of the Ocean Drilling Program, Scientific Results"
bickert.mackensen2003,Last Glacial to Holocene Changes in South Atlantic Deep Water Circulation,"Bickert, T.","Mackensen, A.",2003,10.1007/978-3-642-18917-3_29,,The South Atlantic in the Late Quaternary
